,code,term
97,444661007,High***REMOVED***risk***REMOVED***pregnancy***REMOVED***due***REMOVED***to***REMOVED***history***REMOVED***of***REMOVED***preterm***REMOVED***labor***REMOVED***(finding)
98,459166009,Dichorionic***REMOVED***diamniotic***REMOVED***twin***REMOVED***pregnancy***REMOVED***(disorder)
99,459167000,Monochorionic***REMOVED***twin***REMOVED***pregnancy***REMOVED***(disorder)
100,459168005,Monochorionic***REMOVED***diamniotic***REMOVED***twin***REMOVED***pregnancy***REMOVED***(disorder)
101,459171002,Monochorionic***REMOVED***monoamniotic***REMOVED***twin***REMOVED***pregnancy***REMOVED***(disorder)
102,47200007,High***REMOVED***risk***REMOVED***pregnancy***REMOVED***(finding)
103,60810003,Quadruplet***REMOVED***pregnancy***REMOVED***(disorder)
104,64254006,Triplet***REMOVED***pregnancy***REMOVED***(disorder)
105,65147003,Twin***REMOVED***pregnancy***REMOVED***(disorder)
106,713576003,Monozygotic***REMOVED***twin***REMOVED***pregnancy***REMOVED***(disorder)
107,171055003,Pregnancy***REMOVED***smoking***REMOVED***education***REMOVED***(procedure)
108,10809101000119109,Hypothyroidism***REMOVED***in***REMOVED***childbirth***REMOVED***(disorder)
109,428165003,Hypothyroidism***REMOVED***in***REMOVED***pregnancy***REMOVED***(disorder)
