name,terminology,code,term,DiabetesType
diabetes_drugs,DMD,36889711000001106,Januvia 25mg tablets (Pharmaram Ltd) (product),general
diabetes,SNOMED,314537004,Diabetic optic papillopathy,general
diabetes_drugs,DMD,882811000001109,Metformin 500mg tablets (Alpharma Limited) (product),general
diabetes_drugs,DMD,10956911000001107,Prandin 1mg tablets (Novo Nordisk Ltd) (product),general
diabetes_drugs,DMD,23920511000001101,Gliclazide 30mg modified-release tablets (Phoenix Healthcare Distribution Ltd) (product),general
diabetes_drugs,DMD,24135111000001101,Pioglitazone 45mg tablets (Morningside Healthcare Ltd) (product),general
diabetes_drugs,DMD,5270511000001105,NovoRapid Penfill 100units/ml solution for injection 3ml cartridges (PI) (Waymade Ltd) (product),general
diabetes_drugs,DMD,887211000001106,Glibenclamide 5mg tablets (Generics (UK) Ltd) (product),general
diabetes_drugs,DMD,37550411000001100,Humalog Mix50 KwikPen 100units/ml suspension for injection 3ml pre-filled pens (CST Pharma Ltd) (product),general
diabetes_drugs,DMD,37709511000001100,Vipidia 25mg tablets (Pilsco Ltd) (product),general
diabetes_drugs,DMD,8175511000001106,Metformin 1g / Rosiglitazone 4mg tablets (product),general
diabetes_drugs,DMD,551111000001104,Gliclazide 80mg tablets (Unichem Plc) (product),general
diabetes_drugs,DMD,38074811000001104,Tresiba FlexTouch 200units/ml solution for injection 3ml pre-filled pens (Pharmaram Ltd) (product),general
diabetes_drugs,DMD,38142711000001108,Jentadueto 2.5mg/850mg tablets (DE Pharmaceuticals) (product),general
diabetes,SNOMED,422034002,Diabetic retinopathy associated with type II diabetes mellitus (disorder),type2
diabetes,SNOMED,413184002,Fibrocalculous pancreatopathy without complication (disorder),general
diabetes_drugs,DMD,3282211000001106,NovoRapid FlexPen 100units/ml solution for injection 3ml pre-filled pens (Novo Nordisk Ltd) (product),general
diabetes_drugs,DMD,533211000001108,Gliclazide 80mg tablets (Generics (UK) Ltd) (product),general
diabetes_drugs,DMD,20357611000001105,Pioglitazone 30mg tablets (Actavis UK Ltd) (product),general
diabetes_drugs,DMD,30875711000001107,Repaglinide 1mg tablets (Mawdsley-Brooks & Company Ltd) (product),general
diabetes_drugs,DMD,33769011000001104,Metformin 850mg/5ml oral solution sugar free (Alliance Healthcare (Distribution) Ltd) (product),general
diabetes,SNOMED,199230006,Pre-existing diabetes mellitus - non-insulin-dependent,type2
diabetes,SNOMED,420436000,Mononeuropathy associated with type II diabetes mellitus (disorder),type2
diabetes,SNOMED,420683009,Neurological disorder associated with malnutrition-related diabetes mellitus (disorder),other
diabetes_drugs,DMD,21705311000001107,Komboglyze 2.5mg/850mg tablets (Bristol-Myers Squibb Pharmaceuticals Ltd) (product),general
diabetes_drugs,DMD,16125411000001100,Glimepiride 2mg/5ml oral solution (Special Order) (product),general
diabetes_drugs,DMD,22027111000001109,Glimepiride 1mg tablets (Waymade Healthcare Plc) (product),general
diabetes_drugs,DMD,16037911000001107,Saxagliptin 5mg tablets (product),general
diabetes_drugs,DMD,14248611000001101,Humalog Mix25 Pen 100units/ml suspension for injection 3ml pre-filled pens (Sigma Pharmaceuticals Plc) (product),general
diabetes_drugs,DMD,15973311000001105,Metformin 500mg tablets (Zanza Laboratories Ltd) (product),general
diabetes,SNOMED,705072004,Diabetes monitoring invitation by short message service text messaging (procedure),removed
diabetes_drugs,DMD,3311311000001101,Humulin S 100units/ml solution for injection 3ml cartridges (Eli Lilly & Co Ltd) (product),general
diabetes_drugs,DMD,3271311000001101,Hypurin Bovine Neutral 100units/ml solution for injection 10ml vials (C P Pharmaceuticals Ltd) (product),general
diabetes_drugs,DMD,14122511000001102,Glimepiride 3mg tablets (Consilient Health Ltd) (product),general
diabetes_drugs,DMD,37069611000001104,Glimepiride 1mg tablets (Mawdsley-Brooks & Company Ltd) (product),general
diabetes_drugs,DMD,18678711000001108,Vitile XL 30mg tablets (Actavis UK Ltd) (product),general
diabetes_drugs,DMD,30089311000001102,Repaglinide 2mg tablets (DE Pharmaceuticals) (product),general
diabetes,SNOMED,190331003,Diabetes mellitus - adult onset - with hyperosmolar coma,general
diabetes,SNOMED,399866003,Diabetic retinal venous beading (disorder),general
diabetes_drugs,DMD,7589411000001100,Levemir FlexPen 100units/ml solution for injection 3ml pre-filled pens (Novo Nordisk Ltd) (product),general
diabetes_drugs,DMD,14723311000001105,Prandin 1mg tablets (Sigma Pharmaceuticals Plc) (product),general
diabetes_drugs,DMD,24130611000001101,Acarbose 50mg tablets (Morningside Healthcare Ltd) (product),general
diabetes_drugs,DMD,38116611000001105,Apidra 100units/ml solution for injection 3ml pre-filled SoloStar pens (DE Pharmaceuticals) (product),general
diabetes_drugs,DMD,12793011000001108,Metformin 5mg/5ml oral solution (Special Order) (product),general
diabetes_drugs,DMD,129411000001101,Glipizide 5mg tablets (Pfizer Ltd) (product),general
diabetes_drugs,DMD,19362011000001109,Repaglinide 1mg tablets (A A H Pharmaceuticals Ltd) (product),general
diabetes_drugs,DMD,622811000001108,Gliclazide 80mg tablets (C P Pharmaceuticals Ltd) (product),general
diabetes_drugs,DMD,15373711000001104,Glucophage 500mg oral powder sachets (Merck Serono Ltd) (product),general
diabetes_drugs,DMD,12136111000001100,Gliclazide 20mg/5ml oral suspension (product),general
diabetes_drugs,DMD,10486711000001101,Avandamet 1mg/500mg tablets (PI) (Waymade Ltd) (product),general
diabetes_drugs,DMD,14711111000001101,Minodiab 5mg tablets (Sigma Pharmaceuticals Plc) (product),general
diabetes_drugs,DMD,16061711000001105,Metformin 850mg tablets (Bristol Laboratories Ltd) (product),general
diabetes_drugs,DMD,37716411000001108,Byetta 10micrograms/0.04ml solution for injection 2.4ml pre-filled pens (Pilsco Ltd) (product),general
diabetes,SNOMED,398140007,Somogyi phenomenon (disorder),general
diabetes,SNOMED,421326000,Neurologic disorder associated with type II diabetes mellitus (disorder),type2
diabetes_drugs,DMD,3272411000001103,Insuman Comb 50 100units/ml suspension for injection 3ml cartridges (Aventis Pharma) (product),general
diabetes_drugs,DMD,10703011000001101,Insulin human 1mg inhalation powder blisters (product),general
diabetes_drugs,DMD,29988911000001103,Acarbose 100mg tablets (Mawdsley-Brooks & Company Ltd) (product),general
diabetes_drugs,DMD,36889911000001108,Januvia 50mg tablets (Pharmaram Ltd) (product),general
diabetes,SNOMED,237620003,Abnormal metabolic state in diabetes mellitus,general
diabetes,SNOMED,314014002,Ischaemic diabetic maculopathy,general
diabetes,SNOMED,754121000000107,Type II diabetic dietary review (regime/therapy),type2
diabetes_drugs,DMD,443713000,Product containing precisely saxagliptin 5 milligram/1 each conventional release oral tablet (clinical drug),general
diabetes_drugs,DMD,3310711000001105,Actrapid Penfill 100units/ml solution for injection 3ml cartridges (Novo Nordisk Pharmaceuticals Ltd) (product),general
diabetes_drugs,DMD,695711000001101,Glibenclamide 5mg tablets (Alpharma Limited) (product),general
diabetes_drugs,DMD,37665511000001108,Forxiga 10mg tablets (Pilsco Ltd) (product),general
diabetes_drugs,DMD,14199911000001105,Avandamet 2mg/1000mg tablets (Sigma Pharmaceuticals Plc) (product),general
diabetes,SNOMED,70694009,Diabetes mellitus AND insipidus with optic atrophy AND deafness (disorder),general
diabetes_drugs,DMD,325278007,Product containing precisely metformin hydrochloride 500 milligram/1 each conventional release oral tablet (clinical drug),general
diabetes_drugs,DMD,325259007,Product containing precisely glimepiride 2 milligram/1 each conventional release oral tablet (clinical drug),general
diabetes_drugs,DMD,3274811000001107,Humulin M3 100units/ml suspension for injection 10ml vials (Eli Lilly & Co Ltd) (product),general
diabetes_drugs,DMD,10155511000001105,Glimepiride 4mg tablets (Alpharma Ltd) (product),general
diabetes_drugs,DMD,13462811000001109,Gliclazide 30mg/5ml oral suspension (Special Order) (product),general
diabetes_drugs,DMD,28776011000001103,Liraglutide 6mg/ml solution for injection 3ml pre-filled disposable devices (Colorama Pharmaceuticals Ltd) (product),general
diabetes_drugs,DMD,37972211000001105,Humalog Mix25 100units/ml suspension for injection 3ml cartridges (Pharmaram Ltd) (product),general
diabetes_drugs,DMD,29986211000001106,Pioglitazone 45mg tablets (Sigma Pharmaceuticals Plc) (product),general
